session_esm,modified_esm,ended_esm,created_esm,sleep_1,sleep_2,sad,calm,afraid,unrested,enthusiastic,angry,worried,subc_psycho,cheerful,irritated,active,event_pleasantness,homeo_hungry,homeo_craving,homeo_howmuch,homeo_full,eating_1,eating_2,eating_3,eating_4,alcohol,coffee,ple_control,ple_strange,ple_thoughts,ple_suspicion,ple_treatment,ple_perception,ple_thougtscontrol,ple_familiarstrange
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-25T08:36:10Z,2021-03-25T08:36:10Z,2021-03-25T08:29:44Z,7,5,1,5,1,1,4,1,1,1,3,1,4,5,2,2,2,3,1,3,1,1,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-25T08:32:39Z,2021-03-25T08:32:39Z,2021-03-25T08:29:56Z,7,9,2,5,1,1,3,1,1,2,3,1,4,6,3,3,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-25T10:05:31Z,2021-03-25T10:05:31Z,2021-03-25T10:04:29Z,NA,NA,5,2,5,5,2,2,5,5,2,5,2,5,1,4,2,4,4,4,1,2,0,0,6,2,3,2,6,6,5,3
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-25T10:30:09Z,2021-03-25T10:30:09Z,2021-03-25T10:27:21Z,NA,NA,4,1,1,3,4,6,3,4,1,6,6,2,1,1,1,5,1,5,2,1,0,0,2,1,1,2,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-25T14:19:45Z,2021-03-25T14:19:45Z,2021-03-25T14:18:08Z,NA,NA,1,5,1,1,3,1,1,2,4,1,5,4,1,1,2,4,1,1,1,1,0,1,1,1,1,2,1,1,1,1
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-25T14:25:11Z,2021-03-25T14:25:11Z,2021-03-25T14:24:07Z,7,5,2,6,3,5,5,2,2,3,4,5,3,6,4,2,3,2,4,2,4,2,0,1,5,6,3,6,2,2,6,3
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-26T08:21:26Z,2021-03-26T08:21:26Z,2021-03-26T08:19:15Z,6,3,2,4,4,2,3,1,5,1,2,1,4,4,2,1,2,3,1,3,1,1,0,0,4,1,1,1,1,1,1,1
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-26T14:21:00Z,2021-03-26T14:21:00Z,2021-03-26T14:19:54Z,7,4,2,5,2,4,3,4,3,4,4,3,4,5,2,3,5,3,2,3,2,3,0,0,2,6,2,5,4,6,3,6
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-26T22:06:36Z,2021-03-26T22:06:36Z,2021-03-26T22:04:24Z,7,9,1,3,1,2,4,2,2,2,2,1,2,6,1,1,1,5,3,5,3,4,0,0,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-26T22:17:33Z,2021-03-26T22:17:33Z,2021-03-26T22:13:23Z,8,8,2,2,1,1,5,1,3,1,5,1,4,7,1,1,2,4,1,3,1,4,1,0,1,3,1,1,2,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-27T08:22:40Z,2021-03-27T08:22:40Z,2021-03-27T08:05:25Z,NA,NA,1,1,1,1,4,1,2,1,2,1,4,5,4,4,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-27T14:14:24Z,2021-03-27T14:14:24Z,2021-03-27T14:13:12Z,NA,NA,1,5,1,1,5,1,2,1,4,1,6,6,1,1,1,4,3,4,2,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-27T20:12:28Z,2021-03-27T20:12:28Z,2021-03-27T20:11:01Z,NA,NA,1,5,1,2,5,1,3,1,4,1,5,6,1,1,1,5,3,4,4,1,2,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-28T12:06:18Z,2021-03-28T12:06:18Z,2021-03-28T12:04:38Z,10,10,1,4,1,1,6,1,2,1,5,1,6,7,1,2,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-29T12:02:55Z,2021-03-29T12:02:55Z,2021-03-29T12:00:45Z,8,10,1,4,1,2,4,1,2,1,4,1,5,5,1,1,2,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1
