"id_esm","session_esm","edu","gender","age","city","start_date","day","beep","nback_dprime","gonogo_dprime","event_pleasantness","event_unpleasantness","event_pleasantness_centered","event_unpleasantness_centered","gonogo_corr_rt_median_centered","nback_corr_rt_median_centered","gonogo_corr_rt_median_centered_lag","nback_corr_rt_median_centered_lag","gonogo_dprime_centered","nback_dprime_centered","gonogo_dprime_centered_lag","nback_dprime_centered_lag","posaff","posaff_centered","posaff_centered_lag","negaff","negaff_centered","negaff_centered_lag","NA_sum","NA_sum_lag","PA_sum","PA_sum_lag","negaff_mean","posaff_mean","event_unpleasantness_mean","gonogo_dprime_mean","nback_dprime_mean","gonogo_corr_rt_median_mean","nback_corr_rt_median_mean","cerq_self_blame","cerq_acceptance","cerq_rumination","cerq_attention","cerq_plan","cerq_reappraisal","cerq_new_perspective","cerq_catastrophize","cerq_blame_others","mss_neg","mss_pos","mss_dis","mzq_refuse_reflection","mzq_emotional_awareness","mzq_psychic_equivalence","mzq_regulate_affect","mzq_sum","gonogo_dprime_grand_centered","nback_dprime_grand_centered","gonogo_corr_rt_median_grand_centered","nback_corr_rt_median_grand_centered","negaff_mean_grand_centered"
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",2,7,0.852762699265003,0.467347623630942,7,1,0.377952755905512,-0.377952755905512,-0.00442727272727272,-0.0911785714285713,0.0165727272727273,0.0438214285714286,-0.259877762410687,-1.19600187917208,0.202740604009044,-1.06661474763877,0.322840211656325,-0.569400498837167,-0.0258262118685839,-0.894248479991278,-0.191565987674186,-0.114025517799068,-1.06383371494522,-1.06383371494522,0.719257209361002,1.58837989424661,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",7,6,1.76535261626322,0.480500510417977,7,1,0.377952755905512,-0.377952755905512,0.0215727272727273,0.166821428571429,0.0175727272727273,-0.0981785714285714,-0.246724875623653,-0.283411962173857,0.013227673799812,1.02255239195394,0.593513011757092,-0.298727698736401,-0.0258262118685839,-0.84350415433086,-0.140821662013768,-0.114025517799068,-1.06383371494522,-1.06383371494522,0.999760290280787,1.58837989424661,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",8,2,2.08096713832512,0.929965990050673,7,1,0.377952755905512,-0.377952755905512,-0.00642727272727273,-0.0221785714285714,0.00957272727272729,-0.0331785714285714,0.202740604009044,0.0322025598880429,0.013227673799812,0.33174066547835,0.864185811857858,-0.0280548986356342,0.184347618558102,-0.792759828670441,-0.0900773363533495,0.253448527548165,-1.06383371494522,-0.694685067024758,1.28026337120057,1.8688829751664,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",8,3,2.00633354808923,0.929965990050673,7,1,0.377952755905512,-0.377952755905512,0.00157272727272728,0.0113214285714285,-0.00642727272727273,-0.0221785714285714,0.202740604009044,-0.0424310303478528,0.202740604009044,0.0322025598880429,1.13708729872567,0.244846588232183,-0.0280548986356342,-0.765963684455742,-0.0632811921386497,-0.0900773363533495,-1.06383371494522,-1.06383371494522,1.8688829751664,1.28026337120057,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",8,6,1.00926904213253,0.480500510417977,7,1,0.377952755905512,-0.377952755905512,0.0155727272727273,0.0393214285714285,0.00957272727272729,0.131821428571429,-0.246724875623653,-1.03949553630455,0.713882522322822,0.374132612814811,0.593513011757092,-0.298727698736401,-0.298727698736401,-0.84350415433086,-0.140821662013768,-0.140821662013768,-1.06383371494522,-1.06383371494522,0.999760290280787,0.999760290280787,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
2,"-X_-r2iWImxvXme_BNn5RXX7SoWVzu83VC8H-R_gMeyE7Tt1LpErE_ZJlO5N46US",5,"Female",66,3,"2021-04-13",8,7,1.92217744172945,0.740453059841442,7,1,0.377952755905512,-0.377952755905512,0.0205727272727273,0.133821428571429,0.0155727272727273,0.0393214285714285,0.013227673799812,-0.126587136707633,-0.246724875623653,-1.03949553630455,0.593513011757092,-0.298727698736401,-0.298727698736401,-0.84350415433086,-0.140821662013768,-0.140821662013768,-1.06383371494522,-1.06383371494522,0.999760290280787,0.999760290280787,-0.711576786142546,0.874643927835762,1.43,0.723470893755537,2.06860409117222,0.353879310344828,0.706395348837209,12,9,13,14,9,15,18,10,9,2,0,0,9,7,7,8,22,-0.694526525504138,0.272067676302484,0.0134394650891604,0.102327897582509,-0.753749919513313
4,"_rgd4ZNYBQ2k0oj2Bam9h5S8d6R-WHdiqjqI85TKD-bxv6TIDVm2dOIZtQudG6VM",5,"Female",32,1,"2021-04-13",1,7,3.16177592629987,0.259952549423465,5,3,0.277777777777778,-0.277777777777778,0.00921875,0.0397878787878788,0.00971875,-0.117212121212121,-1.1322780847433,0.08662054187679,0.0488772741976864,0.229729994069596,1.07975084320079,0.607865343954941,0.334963857087124,-0.853588671677713,-0.0465863659873825,-0.0733825102020823,-1.08633285644582,-1.08633285644582,1.56410403401588,0.975484430050058,-0.809376001141379,0.467374878749228,3.2,1.39223063416677,3.0686436142414,0.35628125,0.587264705882353,10,7,8,13,11,12,17,12,7,0,0,0,5,4,5,3,13,-0.0257667850929095,1.27210719937166,0.0158414047443328,-0.0168027453723474,-0.851549134512146
4,"_rgd4ZNYBQ2k0oj2Bam9h5S8d6R-WHdiqjqI85TKD-bxv6TIDVm2dOIZtQudG6VM",5,"Female",32,1,"2021-04-13",1,8,2.44188503077014,1.24471039036437,5,3,0.277777777777778,-0.277777777777778,0.00021874999999999,0.0307878787878788,0.00921875,0.0397878787878788,-0.147520243802398,-0.633270353652941,-1.1322780847433,0.08662054187679,0.206165689016278,-0.26571981022957,0.607865343954941,-0.837492977933141,-0.0304906722428108,-0.0465863659873825,-1.08633285644582,-1.08633285644582,0.0986913246021501,1.56410403401588,-0.809376001141379,0.467374878749228,3.2,1.39223063416677,3.0686436142414,0.35628125,0.587264705882353,10,7,8,13,11,12,17,12,7,0,0,0,5,4,5,3,13,-0.0257667850929095,1.27210719937166,0.0158414047443328,-0.0168027453723474,-0.851549134512146
4,"_rgd4ZNYBQ2k0oj2Bam9h5S8d6R-WHdiqjqI85TKD-bxv6TIDVm2dOIZtQudG6VM",5,"Female",32,1,"2021-04-13",2,2,2.85375519824592,2.06025083049072,4,4,-0.722222222222222,0.722222222222222,-0.00328125000000001,0.240787878787879,-0.03828125,-0.0152121212121212,0.668020196323957,-0.221400186177164,-0.0608243705908458,0.631341511994905,0.5710369594178,0.099151460171952,0.334963857087124,-0.535517010276544,0.271485295413786,-0.0733825102020823,-0.896325780866861,-1.08633285644582,0.734460966778815,0.975484430050058,-0.809376001141379,0.467374878749228,3.2,1.39223063416677,3.0686436142414,0.35628125,0.587264705882353,10,7,8,13,11,12,17,12,7,0,0,0,5,4,5,3,13,-0.0257667850929095,1.27210719937166,0.0158414047443328,-0.0168027453723474,-0.851549134512146
4,"_rgd4ZNYBQ2k0oj2Bam9h5S8d6R-WHdiqjqI85TKD-bxv6TIDVm2dOIZtQudG6VM",5,"Female",32,1,"2021-04-13",2,6,2.5715050488692,2.46823865267412,4,4,-0.722222222222222,0.722222222222222,-0.01428125,-0.101712121212121,0.01171875,0.0367878787878788,1.07600801850735,-0.503650335553878,0.0488772741976864,1.08247169224167,1.07975084320079,0.607865343954941,-0.149045287589523,-0.853588671677713,-0.0465863659873825,-0.0872461743009475,-1.08633285644582,-1.08633285644582,1.56410403401588,0.461628306421327,-0.809376001141379,0.467374878749228,3.2,1.39223063416677,3.0686436142414,0.35628125,0.587264705882353,10,7,8,13,11,12,17,12,7,0,0,0,5,4,5,3,13,-0.0257667850929095,1.27210719937166,0.0158414047443328,-0.0168027453723474,-0.851549134512146
