"id_esm","edu","gender","age","city","start_date","day","beep","nback_dprime","gonogo_dprime","gonogo_dprime_centered","nback_dprime_centered","event_pleasantness","event_unpleasantness","event_pleasantness_centered","event_unpleasantness_centered","sad","calm","cheerful","angry","sad_mean_grand_centered","calm_mean_grand_centered","cheerful_mean_grand_centered","angry_mean_grand_centered","event_unpleasantness_mean_grand_centered","gonogo_dprime_mean_grand_centered","nback_dprime_mean_grand_centered","gonogo_corr_rt_median_mean_grand_centered","nback_corr_rt_median_mean_grand_centered","stressor_sum_mean_grand_centered","cerq_self_blame","cerq_acceptance","cerq_rumination","cerq_attention","cerq_plan","cerq_reappraisal","cerq_new_perspective","cerq_catastrophize","cerq_blame_others","mss_neg","mss_pos","mss_dis","mzq_refuse_reflection","mzq_emotional_awareness","mzq_psychic_equivalence","mzq_regulate_affect","mzq_sum"
1,5,"Female",51,1,"2021-04-13",1,1,NA,-0.343330832644196,-1.19557141958838,NA,5,3,0.195652173913044,-0.195652173913043,1,6,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",1,2,NA,0.433621496030128,-0.418619090914056,NA,6,2,1.19565217391304,-1.19565217391304,1,6,6,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",1,4,NA,1.44110790836445,0.588867321420268,NA,3,5,-1.80434782608696,1.80434782608696,1,6,4,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",1,8,2.01102702377612,1.71205801399531,0.859817427051126,-0.432627889445054,7,1,2.19565217391304,-2.19565217391304,1,6,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",2,2,2.61407365201708,0.929965990050673,0.0777254031064901,0.170418738795915,5,3,0.195652173913044,-0.195652173913043,1,6,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",2,5,1.87317051389741,0.277703483453403,-0.57453710349078,-0.570484399323758,4,4,-0.804347826086956,0.804347826086957,1,6,4,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",3,2,1.99201633755909,1.44110790836445,0.588867321420268,-0.451638575662076,5,3,0.195652173913044,-0.195652173913043,1,5,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",3,4,2.7499057588241,1.08378389248564,0.231543305541454,0.306250845602927,7,1,2.19565217391304,-2.19565217391304,1,6,6,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",4,1,2.44188503077014,0.189512930209232,-0.662727656734952,-0.00176988245102816,5,3,0.195652173913044,-0.195652173913043,1,6,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",6,1,3.16177592629987,1.21595356111787,0.363712974173683,0.718121013078703,4,4,-0.804347826086956,0.804347826086957,1,4,4,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
1,5,"Female",51,1,"2021-04-13",7,5,3.15677021906351,0.480500510417977,-0.371740076526207,0.713115305842337,4,4,-0.804347826086956,0.804347826086957,1,6,5,1,-0.664912333882143,1.49332530496195,1.5254189837314,-0.257241677607662,-0.226960516666555,-0.603603601750134,0.643007822984014,-0.0010387743485093,0.0884643886106363,0.663765348906858,15,10,13,17,14,13,17,17,13,1,5,0,10,9,7,3,25
